excluded_reason	id	name	description	categories	primary_category	tier	homepage	homepage_status	repo_url	repo_status	repo_origin	repo_stars	repo_pushed	repo_archived	repo_language	repo_license	tool_type	topics	languages	license	license_source	maturity	cost	registries	citations	citation_note	year	publication	citations_total	citations_papers	publication_title	publication_venue	publication_url	citations_recent	citations_recent_year	pmid	doi	publication_is_preprint	biotools_id	biotools_url	last_update	source	tags	featured
Compares gene co-expression networks, not regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	juxtapose	Juxtapose	Juxtapose is a Python tool that can be used to compare gene co-expression networks (GCNs)	grn-inference	grn-inference	core	https://github.com/klovens/juxtapose		https://github.com/klovens/juxtapose		recorded	10	2022-02-14	False	Python		Script	Transcriptomics|Evolutionary biology|RNA-Seq|Machine learning|Molecular interactions, pathways and networks	Python						16		2021	pmid:33726666										False	juxtapose	https://bio.tools/juxtapose	2021-10-04	bio.tools		
Paper is about colloid physics, not regulatory genomics; admitted on EDAM 'Transcriptional regulatory element prediction' alone	nobai	NOBAI	Facilitates the search for the evolutionary history embedded in the structure of functional RNA molecules.	regulatory-elements	regulatory-elements	core	http://www.manet.uiuc.edu/nobai/nobai.php										Web application	Functional, regulatory and non-coding RNA|RNA|Molecular interactions, pathways and networks|Nucleic acid structure analysis|Physics							15			pmid:18448469										False	nobai	https://bio.tools/nobai	2026-08-02	bio.tools		
Tool performs gene co-expression network analysis from scRNA-seq, not regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	COAC	COAC	Component overlapping attribute clustering (COAC) algorithm for single-cell RNA sequencing data analysis and potential pathobiological implications.	grn-inference|single-cell	grn-inference	core	https://github.com/ChengF-Lab/COAC		https://github.com/ChengF-Lab/COAC		recorded	0	2019-01-02	False	C++		Command-line tool	Pharmacogenomics|Biomarkers|Molecular interactions, pathways and networks	C++	MPL-2.0		Mature	Free of charge		15		2019	pmid:30779739										False	COAC	https://bio.tools/COAC	2020-06-16	bio.tools		
Tool searches for protein sequence similarities using motifs, not regulatory genomics	scanmot	SCANMOT	SCANMOT is a sequence similarity searching tool that adds the additional constraints of simultaneous matching of multiple motifs.	motif-scanning	motif-scanning	extended	http://caps.ncbs.res.in/scanmot/scanmot.html										Web application	Sequence analysis|Sequence sites, features and motifs							14			pmid:15980468										False	scanmot	https://bio.tools/scanmot	2024-11-25	bio.tools		
Focuses on quadruplex secondary structure topology in 3D structures, not on regulatory genomics; admitted on EDAM 'Sequence motif discovery' alone	eltetrado	ElTetrado	ElTetrado is a tool for identification and classification of tetrads and quadruplexes in DNA/RNA 3D structures	motif-discovery	motif-discovery	core	https://github.com/tzok/eltetrado		https://github.com/tzok/eltetrado		recorded	19	2026-07-24	False	Python	MIT	Command-line tool	Nucleic acid structure analysis|Protein structural motifs and surfaces|NMR|Taxonomy|Sequence sites, features and motifs	Python|R	MIT					14		2020	pmid:32005130										False	eltetrado	https://bio.tools/eltetrado	2021-03-05	bio.tools		
Reconstructs microbial transcription landscapes from RNA-Seq read counts, which is transcriptome reconstruction and not regulatory genomics; admitted on EDAM 'Transcriptional regulatory element prediction' alone	parseq	Parseq	Statistical approach for transcription landscape reconstruction at a basepair resolution from RNA Seq read counts.	regulatory-elements	regulatory-elements	core	http://www.lcqb.upmc.fr/parseq/										Command-line tool	RNA-Seq|Transcriptomics|Statistics and probability	C++						14			pmid:24470570										False	parseq	https://bio.tools/parseq	2024-11-25	bio.tools		
Tool is for gene co-expression networks, not gene-regulatory networks; admitted on EDAM 'Gene regulatory network prediction' alone	wto	wTO	Assessment of weighted topological overlap (wTO) to improve fidelity of gene co-expression networks	grn-inference	grn-inference	core	https://github.com/andrevo/DiffCoEx-WTO		https://github.com/andrevo/DiffCoEx-WTO		recorded	1	2018-09-26	False	Python		Command-line tool	Gene expression|Evolutionary biology|Molecular interactions, pathways and networks|Zoology	Python|C++						14		2019	pmid:30691386										False	wto	https://bio.tools/wto	2021-05-21	bio.tools		
Predicts leucine-aspartic acid motifs in proteins, which are short linear interaction motifs (SLiMs) involved in protein-protein interactions, not regulatory genomics; admitted on EDAM 'Sequence motif discovery' alone	LDmotif	LDmotif	Proteome-level assessment of origin, prevalence and function of Leucine-Aspartic Acid (LD) motifs	motif-discovery|motif-scanning	motif-discovery	core	https://github.com/tanviralambd/LD/		https://github.com/tanviralambd/LD		recorded	0	2019-08-04	False			Command-line tool	Sequence sites, features and motifs|Proteomics|Small molecules|Model organisms|Machine learning							13		2020	pmid:31584626										False	LDmotif	https://bio.tools/LDmotif	2024-11-24	bio.tools		
BoxShade creates printouts from multiple-aligned sequences, not regulatory-genomics analysis	boxshade	BoxShade	Program for creating printouts from multiple-aligned protein or DNA sequences.	motif-scanning	motif-scanning	extended	https://embnet.vital-it.ch/software/BOX_form.html										Web application	Sequence sites, features and motifs|Sequence analysis|Proteins|Gene transcripts|Proteomics|Genomics	Pascal						13		2003	pmid:12824417										False	boxshade	https://bio.tools/boxshade	2024-11-24	bio.tools		
Tool is for tandem repeat sequences, not regulatory genomics	trviz	TRviz	Python library for decomposing and visualizing tandem repeat sequences.	motif-scanning	motif-scanning	extended	https://github.com/Jong-hun-Park/trviz		https://github.com/Jong-hun-Park/trviz		recorded	11	2026-05-26	False	Python	BSD-3-Clause	Library	DNA polymorphism|Sequence composition, complexity and repeats|Sequence sites, features and motifs	Python	BSD-3-Clause			Free of charge		13		2023	pmid:37168281										False	trviz	https://bio.tools/trviz	2024-11-24	bio.tools		
Database of fungal peroxygenase enzymes, not regulatory genomics	UPObase	UPObase	an online database of unspecific peroxygenases	motif-scanning	motif-scanning	extended	http://upobase.bioinformaticsreview.com											Model organisms|Sequence sites, features and motifs|Enzymes|Phylogenetics|Taxonomy							13		2019	pmid:31820805										False	UPObase	https://bio.tools/UPObase	2021-01-02	bio.tools		
Detects microsatellite instability status, not regulatory genomics; admitted on EDAM 'Peak calling' alone	msifinder	MSIFinder	MSIFinder is a python package for detecting Microsatellite instability (MSI) status using random forest classifier	peak-calling	peak-calling	core	https://github.com/861934367/MSIFinder		https://github.com/861934367/MSIFinder		recorded	0	2020-07-01	False	Python		Library	DNA polymorphism|Sequencing|Biomarkers|Machine learning|Oncology	Python						13		2021	pmid:33845765										False	msifinder	https://bio.tools/msifinder	2021-10-11	bio.tools		
CellTICS identifies cell types from scRNA-seq data, not regulatory genomics; admitted on EDAM 'Gene regulatory network prediction' alone	celltics	CellTICS	Explainable neural network for cell-type identification and interpretation based on single-cell RNA-seq data.	grn-inference|single-cell	grn-inference	core	https://github.com/qyyin0516/CellTICS		https://github.com/qyyin0516/CellTICS		recorded	7	2026-04-16	False	Python		Command-line tool	Machine learning|Molecular interactions, pathways and networks|Gene expression|RNA-Seq|Cell biology	Python				Free of charge		13		2024	pmid:38061196										False	celltics	https://bio.tools/celltics	2024-11-24	bio.tools		
Tool designs CRISPR RNAs for genome editing, not regulatory genomics	casilico	CaSilico	A versatile CRISPR package for in silico CRISPR RNA designing for Cas12, Cas13, and Cas14.	motif-scanning	motif-scanning	extended	https://github.com/mrb20045/CaSilico		https://github.com/mrb20045/CaSilico		recorded	4	2023-10-29	False	Shell		Library	Genetic engineering|RNA|Transcriptomics|Sequence sites, features and motifs	R	Not licensed					12		2022	pmid:36017348										False	casilico	https://bio.tools/casilico	2022-11-06	bio.tools		
Tool is a general bioinformatics server for pattern discovery, alignment, and protein annotation, not specifically for regulatory genomics; admitted on EDAM 'Sequence motif discovery' alone	ibm_pattern_discovery	IBM Bioinformatics and Pattern Discovery Group	Extensive server possessing a wide range of tools for pattern discovery in DNA and protein sequences as well as in text	motif-discovery	motif-discovery	core	http://cbcsrv.watson.ibm.com/Tspd.html										Web application	Proteins|DNA|Gene and protein families|Protein sites, features and motifs							12			pmid:15215340	16	2								False	ibm_pattern_discovery	https://bio.tools/ibm_pattern_discovery	2024-11-25	bio.tools		
Tool predicts sgRNA efficacy for CRISPR-Cas13 transcript targeting, not regulatory genomics; admitted on EDAM 'Peak calling' alone	casowary	CASowary	CASowary is a command line machine learning tool written in Python 3.6.8 for predicting the efficacy of sgRNAs for CRISPR Cas13 and other transcript targeting systems.	peak-calling	peak-calling	core	https://github.com/Janga-Lab/CASowary		https://github.com/Janga-Lab/CASowary		recorded	1	2023-07-28	False	Python		Command-line tool	Gene expression|Functional, regulatory and non-coding RNA|Gene transcripts|Machine learning|Protein interactions	Python	Not licensed			Free of charge (with restrictions)		12		2022	pmid:35236300										False	casowary	https://bio.tools/casowary	2022-06-22	bio.tools		
Focuses on metabolic networks and pathways, not gene regulatory networks; admitted on EDAM 'Gene regulatory network analysis' alone	metaboverse	Metaboverse	Automated exploration and contextualization of metabolic data	grn-inference	grn-inference	core	https://github.com/Metaboverse/		https://github.com/Metaboverse/metaboverse		recorded	42	2025-03-24	False	JavaScript	MIT	Command-line tool|Desktop application	Endocrinology and metabolism|Molecular interactions, pathways and networks|Proteomics|Metabolomics|Small molecules	JavaScript	GPL-3.0					12			doi:10.1038/s41556-023-01117-9										False	metaboverse	https://bio.tools/metaboverse	2021-02-22	bio.tools		
Predicts general gene annotations from co-expression, not regulatory genomics; admitted on EDAM 'Gene regulatory network prediction' alone	prismexp	PrismEXP	Gene annotation prediction from stratified gene-gene co-expression matrices.	grn-inference	grn-inference	core	https://maayanlab.cloud/prismexp		https://github.com/maayanlab/prismexp		recorded	10	2025-01-22	False	Python	Apache-2.0	Web application|Library	Machine learning|RNA-Seq|Transcriptomics|Genotype and phenotype|Molecular interactions, pathways and networks	Python	Apache-2.0			Free of charge		12		2023	pmid:36874981										False	prismexp	https://bio.tools/prismexp	2024-11-24	bio.tools		
Focuses on antibody chemical liability motifs, not regulatory genomics	lap	LAP	Liability antibody profiler by sequence & structural mapping of natural and therapeutic antibodies.	motif-scanning	motif-scanning	extended	http://lap.naturalantibody.com										Web application	Biotherapeutics|Immunoproteins and antigens|Sequence sites, features and motifs|Protein modifications|Sequencing					Free of charge		11		2024	pmid:38442111										False	lap	https://bio.tools/lap	2024-11-24	bio.tools		
Tool analyzes selection pressure on protein-coding sequences, not regulatory genomics	papaml	paPAML	An Improved Computational Tool to Explore Selection Pressure on Protein-Coding Sequences.	tfbs-prediction|footprinting|comparative	tfbs-prediction	extended	https://github.com/RetroWWU/paPAML		https://github.com/RetroWWU/paPAML		recorded	13	2026-05-15	False	Perl		Command-line tool	Phylogeny|Gene transcripts|Transcription factors and regulatory sites	Perl	Not licensed			Free of charge		11		2022	pmid:35741852										False	papaml	https://bio.tools/papaml	2024-11-24	bio.tools		
General FDR control tool not specific to regulatory genomics; admitted on EDAM 'Peak calling' alone	clipper-fdr	Clipper	p-value-free FDR control on high-throughput data from two conditions	peak-calling	peak-calling	core	https://github.com/JSB-UCLA/Clipper/		https://github.com/JSB-UCLA/Clipper		recorded	41	2022-07-05	False	R			Proteomics|RNA-Seq|ChIP-seq|Small molecules|Proteomics experiment	R						11			doi:10.1101/2020.11.19.390773										True	clipper-fdr	https://bio.tools/clipper-fdr	2021-02-12	bio.tools		
Focuses on Alzheimer's disease gene association analysis, not regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	alzcode	AlzCode	AlzCode is a web resource that developed pipeline to evaluate the association of genes with AD	grn-inference	grn-inference	core	http://www.alzcode.xyz										Workflow|Web application	Pathology|RNA-Seq|Gene expression|Molecular interactions, pathways and networks|Genotype and phenotype					Free of charge		11		2022	pmid:35040932										False	alzcode	https://bio.tools/alzcode	2022-06-08	bio.tools		
The tool identifies active modules from gene networks and activity profiles, which is a general network analysis method, not specifically for gene-regulatory networks or regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	domino_web-server	DOMINO	The DOMINO web-server for active module identification analysis.	grn-inference	grn-inference	core	http://domino.cs.tau.ac.il		https://github.com/Shamir-Lab/domino_web		recorded	1	2023-07-07	False	HTML		Web application	Gene expression|GWAS study|Molecular interactions, pathways and networks					Free of charge		10		2022	pmid:35139202										False	domino_web-server	https://bio.tools/domino_web-server	2022-05-12	bio.tools		
The tool is a transcriptome study of plant-virus interaction, not a regulatory-genomics tool; admitted on EDAM 'Gene regulatory network analysis' alone	SCMVTDb	SCMVTDb	Plant virus interaction mechanism and associated pathways in mosaic disease of small cardamom (Elettaria cardamomum Maton) by RNA-Seq approach.	grn-inference	grn-inference	core	http://webtom.cabgrid.res.in/scmvtdb/											RNA-Seq|Molecular interactions, pathways and networks|Transcriptomics|Pathology|Plant biology							10		2020	pmid:31770586										False	SCMVTDb	https://bio.tools/SCMVTDb	2021-01-16	bio.tools		
Focuses on cancer driver gene prediction via mutation and pathway integration, not gene regulatory network prediction; admitted on EDAM 'Gene regulatory network prediction' alone	pdgpcs	PDGPCS	PDGPCS is a driver genes prediction method; PDGPCS uesd gene expression data, gene mutation data and pathway data to predict driver genes.	grn-inference	grn-inference	core	https://github.com/NWPU-903PR/PDGPCS		https://github.com/NWPU-903PR/PDGPCS		recorded	0	2021-06-04	False	MATLAB		Script	Oncology|Personalised medicine|Molecular interactions, pathways and networks|Pathology|Gene expression	MATLAB	Not licensed			Free of charge		10		2022	pmid:35974311										False	pdgpcs	https://bio.tools/pdgpcs	2024-11-24	bio.tools		
Predicts HIV-1 coreceptor usage, not regulatory genomics; admitted on EDAM 'Transcriptional regulatory element prediction' alone	gcup	gCUP	Rapid GPU-based HIV-1 coreceptor usage prediction for next-generation sequencing.	regulatory-elements	regulatory-elements	core	https://www.uni-due.de/~hy0546/gCUP/										Library	DNA|Sequencing|Sequence analysis	R						9			pmid:25123901										False	gcup	https://bio.tools/gcup	2024-11-25	bio.tools		
Detects microsatellite instability, not regulatory genomics; admitted on EDAM 'Peak calling' alone	msisensor-pro	MSIsensor-pro	Fast, accurate and matched-normal-sample-free detection of microsatellite instability	peak-calling	peak-calling	core	https://github.com/xjtu-omics/msisensor-pro		https://github.com/xjtu-omics/msisensor-pro		recorded	116	2025-04-02	False	C++	NOASSERTION	Command-line tool	DNA polymorphism|Exome sequencing|Genomics|Proteomics	C++						9			doi:10.1101/2020.01.08.899633										True	msisensor-pro	https://bio.tools/msisensor-pro	2021-03-01	bio.tools		
General multiscale simulation framework, not specific to regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	vivarium-collective	Vivarium Collective	The Vivarium Collective is a registry for open-source Vivarium-compatible simulation modules	grn-inference	grn-inference	core	https://vivarium-collective.github.io/										Workbench	Physics|Statistics and probability|Computational biology	Python	MIT					9			doi:10.1101/2021.04.27.441657										True	vivarium-collective	https://bio.tools/vivarium-collective	2022-01-02	bio.tools		
TCA integrates MRI and transcriptome data to identify age-specific gene signatures, not regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	tca	TCA	Identifying age-specific gene signatures of the human cerebral cortex with joint analysis of transcriptomes and functional connectomes.	grn-inference	grn-inference	core	https://github.com/Soulnature/TCA		https://github.com/Soulnature/TCA		recorded	2	2020-09-27	False	R			MRI|Transcriptomics|Psychiatry|Neurobiology|Molecular interactions, pathways and networks	R						9		2021	pmid:33367491										False	tca	https://bio.tools/tca	2021-02-26	bio.tools		
Detects conserved motifs in protein-ligand interfaces, which is protein-ligand binding site prediction, not regulatory genomics	visgremlin	visGReMLIN	A graph mining based detection and visualization of conserved motifs in 3D protein-ligand interface at the atomic level	motif-scanning	motif-scanning	extended	http://vagner.dti.ufv.br/visgremlin4											Protein interactions|Sequence sites, features and motifs|Small molecules|Molecular biology|NMR							8		2020	pmid:32164574										False	visgremlin	https://bio.tools/visgremlin	2021-03-20	bio.tools		
Focuses on antibody sequence features and immunoproteins, not regulatory genomics	asap-sml	ASAP-SML	Antibody Sequence Analysis Pipeline Using Statistical Testing and Machine Learning (ASAP-SML) is a pipeline to identify distinguishing features in targeting antibody set when compared to a reference non-targeting set	motif-scanning	motif-scanning	extended	https://github.com/HassounLab/ASAP-SML		https://github.com/HassounLab/ASAP-SML		recorded	11	2023-07-06	False	Jupyter Notebook	MIT	Workflow	Machine learning|Immunoproteins and antigens|Sequence sites, features and motifs|Workflows|Pathology	Python	MIT					8		2020	pmid:32339164										False	asap-sml	https://bio.tools/asap-sml	2021-01-28	bio.tools		
Predicts synergistic drug combinations, not gene regulatory networks; admitted on EDAM 'Gene regulatory network prediction' alone	transynergy	TranSynergy	Mechanism-Driven Interpretable Deep Neural Network for the Synergistic Prediction and Pathway Deconvolution of Drug Combinations.	grn-inference	grn-inference	core	https://github.com/qiaoliuhub/drug_combination		https://github.com/qiaoliuhub/drug_combination		recorded	7	2022-09-02	False	Roff	MIT		Machine learning|Molecular interactions, pathways and networks|Small molecules|Medicinal chemistry|Biomarkers							8			doi:10.1101/2020.07.08.193904										True	transynergy	https://bio.tools/transynergy	2021-03-03	bio.tools		
SCAN is a database for single-cell and spatial transcriptomics of the nervous system, not a regulatory-genomics tool	scan_db	SCAN	SCAN is a neural database that combines single cell transcriptome and spatial transcriptome data.	motif-scanning|motif-databases|tfbs-prediction|single-cell	motif-scanning	extended	http://scanatlas.net		https://github.com/jazznbass/scan		inferred						Database portal	Neurobiology|Neurology|Pathology|Transcriptomics|Transcription factors and regulatory sites					Free of charge		7		2024	pmid:37930842										False	scan_db	https://bio.tools/scan_db	2024-11-24	bio.tools		
Predicts single-strand break sites in DNA, which is DNA damage repair, not regulatory genomics; admitted on EDAM 'Transcriptional regulatory element prediction' alone	ssblazer	SSBlazer	SSBlazer is a deep learning framework for predicting single-strand break (SSB) sites at the nucleotide level	tfbs-prediction|regulatory-elements	tfbs-prediction	core	https://sxu99.gitbook.io/ssblazer/		https://github.com/sxu99/ssblazer		inferred							DNA polymorphism|Molecular interactions, pathways and networks|Workflows|Transcription factors and regulatory sites							7			pmid:38347618										False	ssblazer	https://bio.tools/ssblazer	2026-01-14	bio.tools		
Tool is a synthetic biology database for BioBrick parts, not a regulatory genomics tool; admitted on EDAM 'Promoter prediction' alone	biomaster	BioMaster	BioMaster is an integrated database and analytic platform to provide comprehensive information about BioBrick parts.	motif-databases|tfbs-prediction|regulatory-elements	motif-databases	core	http://www.biomaster-uestc.cn										Bioinformatics portal	Synthetic biology|Transcription factors and regulatory sites|Biological databases|Molecular interactions, pathways and networks							7		2021	pmid:33552037										False	biomaster	https://bio.tools/biomaster	2021-03-19	bio.tools		
predicts drug repositioning, not regulatory genomics; admitted on EDAM 'Promoter prediction' alone	ddapred	DDAPRED	DDAPRED is a computational method for predicting drug repositioning using regularized logistic matrix factorization	regulatory-elements	regulatory-elements	core	https://github.com/nongdaxiaofeng/DDAPRED		https://github.com/nongdaxiaofeng/DDAPRED		recorded	1	2018-09-21	False	Python		Script	Drug discovery|Safety sciences|Drug development|Small molecules	Python						7		2020	pmid:32062701										False	ddapred	https://bio.tools/ddapred	2021-02-22	bio.tools		
Focuses on single-cell trajectory inference for stem cell fate, not regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	cellrouter	CellRouter	Trajectory Algorithms to Infer Stem Cell Fate Decisions	grn-inference	grn-inference	core	https://github.com/edroaldo/cellrouter		https://github.com/edroaldo/cellrouter		recorded	46	2018-12-14	False	R		Command-line tool	Transcriptomics|Cell biology|Molecular interactions, pathways and networks|Genotype and phenotype|RNA-Seq|Rare diseases	R						7		2019	pmid:31062311										False	cellrouter	https://bio.tools/cellrouter	2021-05-13	bio.tools		
Focuses on oscillatory gene networks and single-cell RNA-seq, not regulatory genomics; admitted on EDAM 'Gene regulatory network prediction' alone	osconet	OscoNet	Inferring oscillatory gene networks	grn-inference|single-cell	grn-inference	core	https://github.com/alexisboukouvalas/OscoNet		https://github.com/alexisboukouvalas/OscoNet		recorded	2	2023-03-25	False	Jupyter Notebook	MIT	Command-line tool	Gene transcripts|RNA-Seq|Cell biology|Gene expression|Microarray experiment	R|Python	MIT					7		2020	pmid:32838730										False	osconet	https://bio.tools/osconet	2021-03-15	bio.tools		
Focuses on cancer genomics and clinical interpretation, not gene regulatory network analysis; admitted on EDAM 'Gene regulatory network analysis' alone	panoromics	PanorOmics	The massive molecular profiling of thousands of cancer patients has led to the identification of many tumor type specific driver genes	grn-inference	grn-inference	core	https://panoromics.irbbarcelona.org											Complementary medicine|Molecular medicine|Pathology|Molecular interactions, pathways and networks|MRI							6		2017	pmid:28453651										False	panoromics	https://bio.tools/panoromics	2024-11-24	bio.tools		
Focuses on autophagy protein interactions, not regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	autophagynet	AutophagyNet	High-resolution data source for the analysis of autophagy and its regulation.	tfbs-prediction|grn-inference	tfbs-prediction	core	http://autophagynet.org		https://github.com/korcsmarosgroup/AutophagyNetDB		recorded	0	2023-03-13	False	Python		Web service	Functional, regulatory and non-coding RNA|Transcription factors and regulatory sites|Molecular interactions, pathways and networks|Proteomics|Protein modifications	Python				Free of charge		6		2024	pmid:37589496										False	autophagynet	https://bio.tools/autophagynet	2024-11-24	bio.tools		
Generates aptamer sequences for SELEX, not regulatory genomics; admitted on EDAM 'Sequence motif discovery' alone	raptgen	RaptGen	A variational autoencoder with profile hidden Markov model for generative aptamer discovery.	motif-discovery|motif-scanning	motif-discovery	core	https://github.com/hmdlab/raptgen		https://github.com/hmdlab/raptgen		recorded	31	2023-10-03	False	Python	MIT	Library|Command-line tool	Sequence sites, features and motifs|Imaging|Sequencing|Probes and primers|Machine learning	Python	MIT					5			doi:10.1101/2021.02.17.431338										True	raptgen	https://bio.tools/raptgen	2021-03-31	bio.tools		
Tool identifies k-mer motifs for classifying metagenomic sequences, not regulatory motifs like transcription factor binding sites; admitted on EDAM 'Sequence motif discovery' alone	kimi	KIMI	Knockoff Inference for Motif Identification from molecular sequences with controlled false discovery rate	motif-discovery	motif-discovery	core	https://github.com/xinbaiusc/KIMI		https://github.com/xinbaiusc/KIMI		recorded	1	2020-01-24	False	C++		Library	Metagenomics|Sequence sites, features and motifs|Metagenomic sequencing|Sequence assembly	C++|R						5		2021	pmid:33119059										False	kimi	https://bio.tools/kimi	2024-11-24	bio.tools		
Predicts N4-acetyldeoxycytosine (4acC) DNA modification, which is an RNA/DNA modification, not a regulatory-genomics tool in scope; admitted on EDAM 'Sequence motif discovery' alone	4accpred	4acCPred	Weakly supervised prediction of N4-acetyldeoxycytosine DNA modification from sequences	motif-discovery|motif-databases|chip-resources|nucleosome-chromatin|dna-methylation	motif-discovery	core	http://www.rnamd.org/4accpred										Database portal|Web application	Epigenetics|Machine learning|Gene expression|Sequence sites, features and motifs|Methylated DNA immunoprecipitation		Other			Free of charge		5		2022	pmid:36381577										False	4accpred	https://bio.tools/4accpred	2024-11-24	bio.tools		
Predicts metabolite-dependent regulatory interactions in metabolic networks, not gene regulatory networks; admitted on EDAM 'Gene regulatory network prediction' alone	scour	SCOUR	A stepwise machine learning framework for predicting metabolite-dependent regulatory interactions.	grn-inference	grn-inference	core	http://github.com/gtStyLab/SCOUR		https://github.com/gtStyLab/SCOUR		recorded	0	2021-06-03	False	MATLAB		Library	Fluxomics|Metabolomics|Machine learning|Molecular interactions, pathways and networks|Small molecules	MATLAB	Not licensed			Free of charge		5		2021	pmid:34238207										False	scour	https://bio.tools/scour	2021-11-21	bio.tools		
Analyzes chromosome movements from live imaging, not regulatory genomics; admitted on EDAM 'Sequence motif discovery' alone	ichromo	ChroMo	Application for Unsupervised Analysis of Chromosome Movements in Meiosis.	motif-discovery|motif-scanning	motif-discovery	core	https://chromo.cloud		https://github.com/danilexn/chromo		recorded	2	2023-05-12	False	R	MIT	Web application	DNA|Imaging|Model organisms|Data mining|Sequence sites, features and motifs	R	Not licensed			Free of charge		4		2021	pmid:34440781										False	ichromo	https://bio.tools/ichromo	2022-02-16	bio.tools		
Predicts HLA peptide binders, not regulatory genomics; admitted on EDAM 'Promoter prediction' alone	deephlapred	DeepHLAPred	Deep learning-based method for non-classical HLA binder prediction.	regulatory-elements	regulatory-elements	core	http://www.biolscience.cn/DeepHLApred/		https://github.com/tangxingyu0/DeepHLApred		recorded	0	2023-09-18	False	Python		Web application	Immunoproteins and antigens|Machine learning|Small molecules	Python				Free of charge		4		2023	pmid:37993812										False	deephlapred	https://bio.tools/deephlapred	2024-11-24	bio.tools		
Predicts operons, not regulatory elements; admitted on EDAM 'Promoter prediction' alone	metaron	MetaRon	A pipeline for prediction of Metagenome and whole-genome opeRons	regulatory-elements	regulatory-elements	core	https://github.com/zaidissa/MetaRon		https://github.com/zaidissa/MetaRon		recorded	7	2024-08-05	False	Python	NOASSERTION	Command-line tool	Gene structure|Metagenomics|Microbial ecology|Metabolomics|Small molecules	Python						4		2021	pmid:33468056										False	metaron	https://bio.tools/metaron	2021-04-11	bio.tools		
Tool searches for geometrically similar protein-protein binding sites, which is protein structure and docking, not regulatory genomics; admitted on EDAM 'Peak calling' alone	pbsword	PBSword	Web server designed for efficient and accurate comparisons and searches of geometrically similar protein-protein binding sites from a large-scale database.	tfbs-prediction|peak-calling	tfbs-prediction	core	http://pbs.rnet.missouri.edu										Web application	Protein binding sites|Nucleic acid sites, features and motifs|DNA binding sites|Transcription factors and regulatory sites|Drug discovery							4			pmid:22689645										False	pbsword	https://bio.tools/pbsword	2024-11-25	bio.tools		
Tool is for SNP-based pathogen typing via pyrosequencing, not for regulatory genomics; admitted on EDAM 'Peak calling' alone	multipsq	MultiPSQ	MultiPSQ expedites the analysis and evaluation of multiplex-pyrograms, generated from multiplex pyrosequencing	peak-calling	peak-calling	core	https://sourceforge.net/projects/multipsq/		https://sourceforge.net/projects/multipsq/		recorded						Desktop application	Phylogenetics|Public health and epidemiology|Microbiology	C++	LGPL-3.0					4			pmid:23555882										False	multipsq	https://bio.tools/multipsq	2024-11-25	bio.tools		
Tool is for cyclobutane pyrimidine dimer sequencing data, not regulatory genomics; admitted on EDAM 'Nucleosome position prediction' alone	cpdseqer	CPDSeqer	CPDSeqer is a tool for processing, elucidating and quality control of cyclobutane pyrimidine dimer sequencing data.	tfbs-prediction|nucleosome-chromatin	tfbs-prediction	core	https://github.com/shengqh/cpdseqer		https://github.com/shengqh/cpdseqer		recorded	2	2026-01-09	False	Python	MIT	Script|Command-line tool	Exome sequencing|Oncology|Genomics|RNA-Seq|Transcription factors and regulatory sites	Python|R	MIT					4		2021	pmid:33731963										False	cpdseqer	https://bio.tools/cpdseqer	2021-08-23	bio.tools		
Tool prioritizes gene risk for neurodevelopmental disorders using coexpression networks, not regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	deepnd	DeepND	DeepND is a cross-disorder gene discovery algorithm (Deep Neurodevelopmenal Disorders algorithm) It analyzes comorbid neurodevelopmental disorders simultaneously and explicitly learns the shared and disorder-specific genetic features using multitask learning	grn-inference	grn-inference	core	http://github.com/ciceklab/deepnd		https://github.com/ciceklab/deepnd		recorded	13	2022-04-29	False	Python		Script	Gene expression|Machine learning|Neurology|Molecular interactions, pathways and networks|Exome sequencing	Python						4			doi:10.1101/2020.06.13.150201										True	deepnd	https://bio.tools/deepnd	2021-02-27	bio.tools		
focuses on prokaryotic functional association networks and phylogenetic profiling, not eukaryotic gene regulatory networks; admitted on EDAM 'Gene regulatory network prediction' alone	ppnet	PPNet	Identifying functional association networks by phylogenetic profiling of prokaryotic genomes.	grn-inference	grn-inference	core	https://github.com/liyangjie/PPNet		https://github.com/liyangjie/PPNet		recorded	2	2022-11-24	False	Python	GPL-3.0	Command-line tool	Phylogenetics|Molecular interactions, pathways and networks|Genotype and phenotype|DNA polymorphism|Gene structure	Python	GPL-3.0			Free of charge		4		2023	pmid:36602356										False	ppnet	https://bio.tools/ppnet	2024-11-24	bio.tools		
